"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2026","80.1000","79.7600","80.6500","79.7600","","0.75%"
"03/12/2026","79.5000","79.1600","79.8000","79.0100","","0.43%"
"03/11/2026","79.1600","78.8100","79.6250","78.8100","","0.14%"
"03/10/2026","79.0500","78.9600","79.0750","78.3500","","1.02%"
"03/09/2026","78.2500","79.1000","79.2500","78.0000","","-0.95%"
"03/06/2026","79.0000","78.7600","79.3600","78.7600","","0.41%"
"03/05/2026","78.6750","77.8600","78.8500","77.8600","","1.03%"
"03/04/2026","77.8750","77.5100","78.5100","77.4100","","0.29%"
"03/03/2026","77.6500","77.4100","77.7250","77.2000","","0.23%"
"03/02/2026","77.4750","77.4100","77.7500","76.8100","","0.23%"
"02/27/2026","77.3000","76.8750","77.4250","76.8750","","0.55%"
"02/26/2026","76.8750","76.6600","77.6600","76.6500","","0.28%"
"02/25/2026","76.6600","76.6100","77.2500","76.1500","","0.07%"
"02/24/2026","76.6100","76.8100","76.9250","76.3750","","-0.41%"
"02/23/2026","76.9250","76.9100","77.0250","76.7500","","0.26%"
"02/20/2026","76.7250","76.6100","77.2000","76.6100","","-0.03%"
"02/19/2026","76.7500","76.7600","76.9000","76.4250","","0.00%"
"02/18/2026","76.7500","76.5100","76.8750","76.1100","","0.52%"
"02/17/2026","76.3500","76.7600","76.9100","76.3000","","-0.53%"
"02/16/2026","76.7600","76.6500","77.0100","76.4250","","0.14%"